name,class,mechanism,pubchem_cid,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,conc_min_mM,conc_max_mM
histidine,buffer,"pH control, antioxidant",6274.0,155.15,-3.2,3.0,4.0,92.0,3.0,10.0,50.0
citric acid,buffer,pH control,311.0,192.12,-1.7,4.0,7.0,132.0,5.0,10.0,50.0
phosphoric acid,buffer,pH control,1004.0,97.995,-2.1,3.0,4.0,77.8,0.0,10.0,50.0
acetic acid,buffer,pH control,176.0,60.05,-0.2,1.0,2.0,37.3,0.0,10.0,50.0
sucrose,sugar,"cryoprotection, stabilization",5988.0,342.3,-3.7,8.0,11.0,190.0,5.0,100.0,300.0
trehalose,sugar,"cryoprotection, stabilization",7427.0,342.3,-4.2,8.0,11.0,190.0,4.0,100.0,300.0
mannitol,sugar,"bulking agent, tonicity",6251.0,182.17,-3.1,6.0,6.0,121.0,5.0,100.0,300.0
sorbitol,sugar,"cryoprotection, tonicity",5780.0,182.17,-3.1,6.0,6.0,121.0,5.0,100.0,300.0
polysorbate 80,surfactant,"surface protection, anti-aggregation",,,,,,,,0.01,0.08
polysorbate 20,surfactant,"surface protection, anti-aggregation",,,,,,,,0.01,0.08
poloxamer 188,surfactant,surface protection,,,,,,,,0.01,0.05
arginine,amino_acid,"aggregation suppression, solubility",6322.0,174.2,-4.2,4.0,4.0,128.0,5.0,50.0,150.0
glycine,amino_acid,"stabilization, tonicity",750.0,75.07,-3.2,2.0,3.0,63.3,1.0,50.0,200.0
proline,amino_acid,"stabilization, cryoprotection",145742.0,115.13,-2.5,2.0,3.0,49.3,1.0,50.0,150.0
methionine,amino_acid,antioxidant,6137.0,149.21,-1.9,2.0,4.0,88.6,4.0,1.0,10.0
sodium chloride,salt,"ionic strength, tonicity",5234.0,58.44,,0.0,1.0,0.0,0.0,50.0,150.0
potassium chloride,salt,"ionic strength, tonicity",4873.0,74.55,,0.0,1.0,0.0,0.0,10.0,50.0
EDTA,chelator,"metal chelation, oxidation prevention",6049.0,292.24,-5.9,4.0,10.0,156.0,11.0,0.05,0.1
ascorbic acid,antioxidant,oxidation prevention,54670067.0,176.12,-1.6,4.0,6.0,107.0,2.0,1.0,5.0
