protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score
A0A1B0GTW7,histidine,sucrose,poloxamer 188,proline,5.5,4,10.0,300.0,0.01,150.0,0.1877,0.2434,0.0814,0.8661,2,0.8228
A0A1B0GTW7,histidine,sorbitol,polysorbate 80,arginine,5.0,4,10.0,300.0,0.08,50.0,0.1357,0.2778,0.0838,0.8362,1,0.8481
A0A1B0GTW7,citric acid,sorbitol,polysorbate 80,methionine,7.0,25,10.0,100.0,0.08,5.5,0.2422,0.1869,0.1733,0.7741,0,0.7606
A0A1B0GTW7,phosphoric acid,mannitol,polysorbate 80,glycine,6.0,4,10.0,200.0,0.01,125.0,0.2226,0.3259,0.1747,0.7601,1,0.7325
A0A1B0GTW7,phosphoric acid,mannitol,polysorbate 80,methionine,7.0,4,30.0,100.0,0.08,5.5,0.3001,0.1917,0.2698,0.74,0,0.7307
A0A1B0GTW7,phosphoric acid,trehalose,poloxamer 188,arginine,5.0,40,10.0,200.0,0.01,50.0,0.2127,0.4232,0.276,0.6707,0,0.6993
A0A1B0GTW7,histidine,sorbitol,polysorbate 20,methionine,7.4,25,10.0,200.0,0.045,1.0,0.33,0.1332,0.1682,0.7733,0,0.794
A0A1B0GTW7,phosphoric acid,sucrose,poloxamer 188,glycine,7.0,40,10.0,100.0,0.03,125.0,0.2695,0.4504,0.3292,0.6147,1,0.6623
A0A1B0GTW7,phosphoric acid,trehalose,poloxamer 188,proline,5.0,4,10.0,200.0,0.03,100.0,0.2116,0.3496,0.1661,0.7712,0,0.7311
A0A1B0GTW7,histidine,trehalose,poloxamer 188,proline,5.5,40,30.0,200.0,0.05,100.0,0.2678,0.337,0.1896,0.7107,0,0.6996
A0A1B0GTW7,citric acid,mannitol,polysorbate 80,glycine,7.4,40,50.0,200.0,0.08,200.0,0.4577,0.4385,0.2549,0.5966,1,0.6295
A0A1B0GTW7,acetic acid,sorbitol,polysorbate 20,glycine,5.5,40,30.0,100.0,0.01,50.0,0.384,0.4294,0.2623,0.6217,0,0.6584
A0A1B0GTW7,citric acid,trehalose,poloxamer 188,methionine,7.0,4,30.0,200.0,0.05,5.5,0.175,0.1925,0.1463,0.8191,0,0.8446
A0A1B0GTW7,phosphoric acid,sucrose,poloxamer 188,arginine,7.4,40,30.0,300.0,0.03,50.0,0.342,0.4447,0.3885,0.6093,1,0.6003
A0A1B0GTW7,phosphoric acid,sorbitol,polysorbate 80,methionine,5.0,40,50.0,200.0,0.08,1.0,0.3503,0.327,0.2677,0.6896,0,0.6291
A0A1B0GTW7,histidine,mannitol,poloxamer 188,none,7.0,4,10.0,200.0,0.01,0.0,0.3641,0.2479,0.1625,0.7493,0,0.6915
A0A1B0GTW7,histidine,mannitol,polysorbate 20,arginine,5.0,25,30.0,100.0,0.01,50.0,0.1695,0.2533,0.098,0.8262,0,0.8106
A0A1B0GTW7,histidine,sucrose,poloxamer 188,methionine,5.0,40,10.0,100.0,0.05,5.5,0.291,0.2145,0.175,0.7236,0,0.777
A0A1B0GTW7,citric acid,mannitol,poloxamer 188,none,6.5,4,50.0,300.0,0.05,0.0,0.3257,0.3656,0.0544,0.7426,1,0.7359
A0A1B0GTW7,citric acid,mannitol,polysorbate 20,proline,6.5,40,30.0,100.0,0.01,50.0,0.3122,0.4521,0.1737,0.6549,0,0.6827
A0A1B0GTW7,histidine,mannitol,polysorbate 80,none,7.0,4,50.0,100.0,0.01,0.0,0.2136,0.2378,0.1616,0.7949,0,0.7915
A0A1B0GTW7,histidine,sucrose,polysorbate 80,arginine,5.0,25,10.0,300.0,0.01,100.0,0.0049,0.2839,0.0719,0.9036,1,0.8898
A0A1B0GTW7,acetic acid,trehalose,poloxamer 188,glycine,7.4,40,50.0,200.0,0.01,125.0,0.3405,0.4457,0.3696,0.6555,1,0.6154
A0A1B0GTW7,acetic acid,trehalose,polysorbate 80,arginine,7.4,25,30.0,200.0,0.045,100.0,0.1271,0.3455,0.2451,0.8194,0,0.787
A0A1B0GTW7,histidine,sucrose,polysorbate 80,methionine,7.4,25,10.0,100.0,0.01,1.0,0.2384,0.078,0.1965,0.8139,0,0.834
A0A1B0GTW7,acetic acid,trehalose,polysorbate 20,glycine,6.0,25,10.0,100.0,0.045,200.0,0.1718,0.3264,0.1571,0.8039,1,0.7762
A0A1B0GTW7,histidine,sucrose,poloxamer 188,none,5.0,4,10.0,100.0,0.03,0.0,0.1596,0.2476,0.0472,0.8619,0,0.8294
A0A1B0GTW7,acetic acid,sorbitol,polysorbate 80,methionine,5.0,4,30.0,100.0,0.045,5.5,0.3026,0.1805,0.162,0.8087,0,0.7516
A0A1B0GTW7,acetic acid,mannitol,polysorbate 20,none,7.4,40,30.0,100.0,0.01,0.0,0.4715,0.4723,0.3363,0.5561,0,0.574
A0A1B0GTW7,phosphoric acid,trehalose,polysorbate 80,none,7.4,40,10.0,300.0,0.045,0.0,0.3048,0.4215,0.342,0.6437,1,0.655
A0A1B0GTW7,histidine,sucrose,poloxamer 188,methionine,7.0,40,10.0,100.0,0.05,1.0,0.3136,0.2031,0.2548,0.7173,0,0.743
A0A1B0GTW7,citric acid,sucrose,poloxamer 188,arginine,7.4,4,30.0,100.0,0.05,50.0,0.2133,0.3835,0.1779,0.7402,0,0.7594
A0A1B0GTW7,histidine,sucrose,polysorbate 20,none,7.0,40,30.0,200.0,0.01,0.0,0.1602,0.3619,0.2916,0.7026,0,0.7591
A0A1B0GTW7,phosphoric acid,trehalose,polysorbate 20,methionine,5.5,40,50.0,200.0,0.045,5.5,0.2018,0.3126,0.3064,0.7093,0,0.7185
A0A1B0GTW7,histidine,sucrose,polysorbate 20,none,7.0,4,10.0,300.0,0.01,0.0,0.0461,0.2299,0.1669,0.8861,1,0.8681
A0A1B0GTW7,phosphoric acid,trehalose,polysorbate 20,arginine,5.5,25,30.0,100.0,0.045,150.0,0.0509,0.3465,0.1975,0.8309,1,0.8709
A0A1B0GTW7,phosphoric acid,sucrose,poloxamer 188,none,6.0,40,10.0,100.0,0.03,0.0,0.3249,0.429,0.247,0.6516,0,0.6628
A0A1B0GTW7,histidine,sucrose,poloxamer 188,none,5.5,25,30.0,300.0,0.01,0.0,0.1942,0.2557,0.067,0.8153,1,0.7952
A0A1B0GTW7,phosphoric acid,trehalose,poloxamer 188,proline,7.0,25,30.0,100.0,0.01,150.0,0.1927,0.3633,0.2727,0.7345,1,0.7356
A0A1B0GTW7,acetic acid,mannitol,polysorbate 80,arginine,6.0,4,50.0,200.0,0.01,150.0,0.171,0.3285,0.1715,0.7999,1,0.7587
A0A1B0GTW7,acetic acid,sorbitol,poloxamer 188,arginine,5.0,4,50.0,100.0,0.05,50.0,0.2868,0.3574,0.1901,0.7611,0,0.6935
A0A1B0GTW7,phosphoric acid,trehalose,polysorbate 20,glycine,5.0,25,30.0,100.0,0.045,50.0,0.078,0.3565,0.1787,0.8364,0,0.8853
A0A1B0GTW7,citric acid,sucrose,polysorbate 20,none,6.5,40,50.0,100.0,0.01,0.0,0.2232,0.4689,0.1875,0.6956,0,0.7075
A0A1B0GTW7,citric acid,trehalose,polysorbate 20,arginine,5.5,40,30.0,200.0,0.08,150.0,0.1322,0.4307,0.1637,0.7255,1,0.7704
A0A1B0GTW7,citric acid,mannitol,polysorbate 80,arginine,6.5,4,30.0,100.0,0.01,100.0,0.2455,0.3088,0.0822,0.7604,0,0.775
A0A1B0GTW7,phosphoric acid,mannitol,polysorbate 80,glycine,5.0,40,10.0,200.0,0.045,125.0,0.3721,0.4475,0.2469,0.6032,1,0.6564
