protein_id,buffer,sugar,surfactant,amino_acid,salt,ph,temperature_c,protein_conc_mgmL,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,salt_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score,composite_stability_score,stable
O15520,histidine,sucrose,poloxamer 188,proline,sodium chloride,5.5,25,100,14.0998,248.1335,0.0318,109.0493,53.1783,0.2978,0.3128,0.2136,0.7612,2,0.7161,0.7223,1
O15520,histidine,trehalose,polysorbate 80,none,none,5.0,50,1,38.6408,240.265,0.0394,0.0,0.0,0.3397,0.4673,0.3398,0.6421,1,0.6305,0.6276,0
O15520,acetic acid,mannitol,polysorbate 80,glycine,none,6.5,37,10,16.2192,291.4426,0.0336,63.9119,0.0,0.2241,0.3624,0.3713,0.6942,1,0.6622,0.7001,1
O15520,histidine,mannitol,polysorbate 20,none,potassium chloride,5.0,40,100,14.993,284.4591,0.0155,0.0,21.7271,0.5123,0.37,0.2777,0.6047,2,0.5697,0.5818,0
O15520,phosphoric acid,trehalose,poloxamer 188,arginine,sodium chloride,7.4,25,10,49.4089,271.0635,0.0447,88.0126,95.341,0.1267,0.3115,0.4249,0.747,1,0.7257,0.752,1
O15520,phosphoric acid,trehalose,polysorbate 20,proline,sodium chloride,7.4,37,100,47.4662,229.6071,0.0526,67.1139,122.9127,0.3859,0.3521,0.4833,0.6266,2,0.593,0.6038,0
O15520,citric acid,sorbitol,polysorbate 20,proline,none,7.4,50,1,37.3846,268.5704,0.0643,72.9048,0.0,0.3848,0.4714,0.4781,0.5855,1,0.578,0.5728,0
O15520,histidine,mannitol,polysorbate 20,proline,sodium chloride,5.5,50,100,22.5871,231.0877,0.0377,141.4548,95.8852,0.5598,0.4467,0.2989,0.5512,2,0.5493,0.5341,0
O15520,phosphoric acid,trehalose,polysorbate 80,none,none,6.0,50,10,45.9129,179.8801,0.0254,0.0,0.0,0.4411,0.4461,0.3966,0.597,0,0.5427,0.5691,0
O15520,citric acid,sorbitol,polysorbate 80,arginine,sodium chloride,5.5,25,100,26.8864,112.7055,0.0367,149.6121,102.9114,0.2682,0.308,0.2197,0.7562,2,0.7008,0.7322,1
O15520,histidine,sucrose,poloxamer 188,none,potassium chloride,7.4,37,1,21.74,131.6316,0.0101,0.0,38.8837,0.3346,0.3636,0.3975,0.68,0,0.658,0.6488,0
O15520,phosphoric acid,trehalose,poloxamer 188,arginine,none,6.0,50,100,17.9564,174.7828,0.0165,145.35,0.0,0.529,0.431,0.3937,0.5747,2,0.5555,0.5361,0
O15520,histidine,mannitol,polysorbate 20,arginine,sodium chloride,6.0,37,1,12.317,275.6019,0.0763,58.5653,98.599,0.1391,0.3666,0.2411,0.7654,1,0.7775,0.7743,1
O15520,histidine,trehalose,polysorbate 80,methionine,none,5.5,37,100,44.8973,184.6276,0.0248,5.8537,0.0,0.4324,0.2283,0.2727,0.7008,1,0.6624,0.6648,0
O15520,citric acid,mannitol,polysorbate 20,proline,potassium chloride,7.0,40,1,19.9162,112.8052,0.0115,105.3922,33.5376,0.3954,0.4082,0.3724,0.6605,1,0.5597,0.609,0
O15520,histidine,sucrose,poloxamer 188,arginine,sodium chloride,5.0,4,10,12.8343,147.6009,0.0368,71.4237,63.2312,0.1368,0.2649,0.1438,0.8357,0,0.7858,0.8243,1
O15520,acetic acid,trehalose,polysorbate 20,methionine,sodium chloride,5.0,4,100,27.242,184.7157,0.0427,7.5617,117.3365,0.3331,0.1289,0.2405,0.7655,1,0.7406,0.7462,1
