source,drug_name,keyword,ph,storage,has_histidine,has_citric_acid,has_phosphate,has_acetate,has_succinate,has_sucrose,has_trehalose,has_mannitol,has_sorbitol,has_polysorbate_80,has_polysorbate_20,has_poloxamer_188,has_arginine,has_glycine,has_proline,has_methionine,has_sodium_chloride,has_potassium_chloride,has_edta,has_ascorbic_acid
FDA_DailyMed,HADLIMA (ADALIMUMAB-BWWD) SOLUTION [A-S MEDICATION SOLUTIONS],adalimumab,,2-8C,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
FDA_DailyMed,"ABRILADA (ADALIMUMAB-AFZB) KIT ABRILADA (ADALIMUMAB-AFZB) INJECTION, SOLUTION [PFIZER LABORATORIES DIV PFIZER INC]",adalimumab,,2-8C,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
FDA_DailyMed,"ADALIMUMAB-RYVK KIT [TEVA PHARMACEUTICALS USA, INC.]",adalimumab,5.3,2-8C,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,HULIO (ADALIMUMAB-FKJP) KIT [BIOCON BIOLOGICS INC],adalimumab,,2-8C,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
FDA_DailyMed,"AMJEVITA (ADALIMUMAB-ATTO) INJECTION [AMGEN, INC]",adalimumab,5.2,2-8C,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDA_DailyMed,AMJEVITA (ADALIMUMAB-ATTO) INJECTION [NUVAILA LIMITED],adalimumab,5.2,2-8C,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDA_DailyMed,"CYLTEZO (ADALIMUMAB-ADBM) KIT [BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.]",adalimumab,,2-8C,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
FDA_DailyMed,HUMIRA (ADALIMUMAB) KIT [CORDAVIS LIMITED],adalimumab,,2-8C,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"HYRIMOZ (ADALIMUMAB-ADAZ) INJECTION, SOLUTION HYRIMOZ (ADALIMUMAB-ADAZ) KIT [SANDOZ INC]",adalimumab,,2-8C,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"IDACIO (ADALIMUMAB-AACF) KIT [FRESENIUS KABI USA, LLC]",adalimumab,,2-8C,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
