source,pmid,title,journal,year,query,mentions_histidine,mentions_citric_acid,mentions_phosphate,mentions_acetate,mentions_succinate,mentions_sucrose,mentions_trehalose,mentions_mannitol,mentions_sorbitol,mentions_polysorbate_80,mentions_polysorbate_20,mentions_poloxamer_188,mentions_arginine,mentions_glycine,mentions_proline,mentions_methionine,mentions_sodium_chloride,mentions_edta,mentions_ascorbic_acid,studies_aggregation,studies_oxidation,studies_deamidation,studies_potency,studies_viscosity,studies_shelf_life,studies_lyophilized,studies_liquid,protein_monoclonal_antibody,protein_bispecific,protein_fusion_protein,protein_insulin,protein_growth_factor,protein_enzyme,protein_vaccine,ph_mentioned,positive_outcome,negative_outcome
PubMed,38937372,Stability of Protein Pharmaceuticals: Recent Advances.,Pharmaceutical research,2024,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,35367584,Poloxamer 188 as surfactant in biological formulations - An alternative for polysorbate 20/80?,International journal of pharmaceutics,2022,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,21855584,Protein-excipient interactions: mechanisms and biophysical characterization applied to protein formulation development.,Advanced drug delivery reviews,2012,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0
PubMed,38944343,Leucine as a Moisture-Protective Excipient in Spray-Dried Protein/Trehalose Formulation.,Journal of pharmaceutical sciences,2024,protein formulation stability excipient,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,35978148,Formulation Excipients and Their Role in Insulin Stability and Association State in Formulation.,Pharmaceutical research,2022,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0
PubMed,30940541,Antibody-drug conjugates- stability and formulation.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2019,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,34096731,Understanding the Impact of Protein-Excipient Interactions on Physical Stability of Spray-Dried Protein Solids.,Molecular pharmaceutics,2022,protein formulation stability excipient,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0
PubMed,29183741,Arginine as an Excipient for Protein Freeze-Drying: A Mini Review.,Journal of pharmaceutical sciences,2018,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,39013532,Histidine as a versatile excipient in the protein-based biopharmaceutical formulations.,International journal of pharmaceutics,2024,protein formulation stability excipient,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.0,1,1
PubMed,25858529,Advanced protein formulations.,Protein science : a publication of the Protein Society,2016,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,1,1
PubMed,19894257,Protein adsorption and excipient effects on kinetic stability of silicone oil emulsions.,Journal of pharmaceutical sciences,2010,protein formulation stability excipient,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,12436915,Protein formulation and fill-finish operations.,Biotechnology annual review,2003,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1
PubMed,38155586,Probing the Protein-Excipient Interaction in the Orally Delivered Protein by Solid-State Hydrogen-Deuterium Exchange Mass Spectrometry and Molecular Dynamics.,Analytical chemistry,2024,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,40392626,Storage and in-use stability of an excipient enhanced growth (EEG) synthetic lung surfactant powder formulation.,Drug development and industrial pharmacy,2025,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,40490041,Protein stability and critical stabilizers in frozen solutions.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2025,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,33333176,Effects of drying method and excipient on the structure and physical stability of protein solids: Freeze drying vs. spray freeze drying.,International journal of pharmaceutics,2021,protein formulation stability excipient,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1
PubMed,39009288,On the role of excipients in biopharmaceuticals manufacture: Modelling-guided formulation identifies the protective effect of arginine hydrochloride excipient on spray-dried Olipudase alfa recombinant protein.,International journal of pharmaceutics,2024,protein formulation stability excipient,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,1,0
