protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,composite_score,stability_proba,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life
P10636,citric acid,sucrose,polysorbate 20,methionine,7.4,4.0,50.0,200.0,0.045,10.0,0.94998765,0.99762696,0.037299614,0.038591694,0.17184699,0.9579297,0.92071664
P10636,citric acid,trehalose,polysorbate 20,none,5.0,4.0,50.0,100.0,0.045,0.0,0.92618674,0.98877627,0.06451706,0.16772111,0.08643062,0.9011197,0.9082411
P10636,phosphoric acid,sucrose,polysorbate 80,methionine,5.5,25.0,50.0,200.0,0.045,5.5,0.9125839,0.996121,0.1381111,0.04791919,0.18831626,0.89106625,0.8629024
P10636,phosphoric acid,trehalose,polysorbate 80,arginine,7.4,4.0,30.0,300.0,0.045,150.0,0.90478766,0.993863,0.0040650847,0.19784944,0.2630953,0.89669317,0.84158915
P10636,acetic acid,trehalose,polysorbate 80,arginine,7.4,25.0,10.0,200.0,0.01,50.0,0.90246487,0.98514855,-0.0029617357,0.17786454,0.2804849,0.88136286,0.85751885
P01308,histidine,sucrose,polysorbate 80,methionine,7.4,25.0,10.0,100.0,0.01,1.0,0.8275263,0.89705664,0.11222938,0.27354544,0.25345835,0.79866153,0.8021282
P01308,acetic acid,sucrose,poloxamer 188,methionine,6.5,4.0,30.0,200.0,0.03,5.5,0.82459205,0.9072159,0.17922747,0.28015924,0.21859902,0.83384037,0.76020855
P01308,citric acid,trehalose,poloxamer 188,methionine,7.0,4.0,30.0,200.0,0.05,5.5,0.80403554,0.8369584,0.16230705,0.27943322,0.21276893,0.7947899,0.80042464
P01308,acetic acid,sorbitol,polysorbate 80,methionine,6.5,25.0,10.0,300.0,0.045,10.0,0.7741258,0.7734854,0.197568,0.26799163,0.23854814,0.7957751,0.7641696
P01308,citric acid,sorbitol,polysorbate 80,methionine,7.0,25.0,10.0,100.0,0.08,5.5,0.7655169,0.8060574,0.23750542,0.27013928,0.23863691,0.74028546,0.72948635
P00533,histidine,trehalose,polysorbate 80,methionine,5.5,4.0,30.0,300.0,0.045,1.0,0.57162476,0.017144676,0.06969588,0.25256214,0.30930328,0.82945156,0.80565155
P00533,histidine,trehalose,polysorbate 20,methionine,7.4,25.0,30.0,300.0,0.045,10.0,0.5624362,0.02158635,0.032648414,0.26785296,0.4051445,0.82927865,0.7809558
P00533,phosphoric acid,trehalose,polysorbate 20,methionine,5.5,25.0,10.0,300.0,0.045,10.0,0.54923064,0.07653968,0.10095463,0.26564565,0.42968953,0.75233686,0.7581875
P00533,citric acid,trehalose,poloxamer 188,methionine,5.0,4.0,50.0,300.0,0.01,1.0,0.5424348,0.069258854,0.20492622,0.27757236,0.31180292,0.75627935,0.75213677
P00533,histidine,trehalose,polysorbate 20,none,5.5,25.0,30.0,300.0,0.045,0.0,0.5339931,0.0057472973,0.075511314,0.4239217,0.29949418,0.7908517,0.74511576
