feature,shap_importance
gravy_score,1.0393722
temperature_c,0.86139363
dist_from_pI_formulation,0.8518528
sur_x_gravy,0.8317244
amino_acid_logp,0.5693955
surfactant_encoded,0.3676562
buf_x_asn,0.31942052
sugar_sucrose,0.29943812
sug_x_cys,0.28920618
instability_index,0.27516317
buffer_logp,0.21497332
sequence_length,0.18508932
sugar_mol_weight,0.18076797
amino_acid_methionine,0.17386276
sug_x_instability,0.1708453
high_temp_flag,0.15709853
ph,0.13307212
buffer_encoded,0.11005505
amino_acid_hba,0.10100648
sugar_logp,0.095691055
sug_conc_mM,0.08751073
ph_risk_flag,0.08581659
buf_conc_mM,0.08470533
surfactant_polysorbate 20,0.083773814
surfactant_polysorbate 80,0.076301716
buffer_mol_weight,0.068182915
sur_conc_mM,0.05978856
surfactant_poloxamer 188,0.056562312
buffer_histidine,0.050187267
aa_conc_mM,0.04661375
sugar_encoded,0.04447598
amino_acid_tpsa,0.042319763
buffer_citric acid,0.039050866
amino_acid_hbd,0.03570896
buffer_hba,0.03448097
sugar_sorbitol,0.03408669
molecular_weight_kda,0.02750259
amino_acid_rotbonds,0.02566436
amino_acid_encoded,0.022623442
amino_acid_mol_weight,0.02232683
turn_fraction,0.022189505
buffer_rotbonds,0.019984318
amino_acid_none,0.01974586
buffer_hbd,0.013902243
sugar_mannitol,0.0101191895
sugar_rotbonds,0.0092330985
buffer_phosphoric acid,0.008054162
buffer_acetic acid,0.007142764
amino_acid_glycine,0.0046305708
sugar_trehalose,0.003193091
buffer_tpsa,0.0031230184
isoelectric_point,0.0
pct_his,0.0
pct_trp,0.0
pct_cys,0.0
pct_met,0.0
pct_asn,0.0
sheet_fraction,0.0
helix_fraction,0.0
aromaticity,0.0
surfactant_tpsa,0.0
surfactant_rotbonds,0.0
surfactant_hbd,0.0
surfactant_hba,0.0
surfactant_logp,0.0
charge_at_pH_7.4,0.0
dist_from_pI_at_pH_7.0,0.0
charge_at_pH_7.0,0.0
dist_from_pI_at_pH_5.5,0.0
charge_at_pH_5.5,0.0
dist_from_pI_at_pH_5.0,0.0
charge_at_pH_5.0,0.0
dist_from_pI_at_pH_6.5,0.0
surfactant_mol_weight,0.0
sugar_hba,0.0
sugar_tpsa,0.0
sugar_hbd,0.0
charge_at_pH_6.5,0.0
dist_from_pI_at_pH_6.0,0.0
charge_at_pH_6.0,0.0
dist_from_pI_at_pH_7.4,0.0
protein_id_encoded,0.0
amino_acid_arginine,0.0
amino_acid_proline,0.0
