feature,shap_importance
dist_from_pI_formulation,0.05523426
sugar_mol_weight,0.04999146
surfactant_encoded,0.037648465
temperature_c,0.03153886
sugar_logp,0.02072332
ph_risk_flag,0.013076389
amino_acid_mol_weight,0.012488085
high_temp_flag,0.009271726
amino_acid_logp,0.006833999
sug_x_instability,0.006280847
surfactant_poloxamer 188,0.0046214135
agg_x_gravy,0.003446331
sug_conc_mM,0.0033293026
gravy_score,0.0032270332
dist_from_pI_at_pH_6.5,0.0030041945
sug_x_cys,0.0027992157
agg_hotspots,0.0027673896
hotspot_x_sug,0.002202142
instability_index,0.002158839
amino_acid_tpsa,0.0021210473
agg_x_temp,0.0019179299
amino_acid_rotbonds,0.0017209965
protein_id_encoded,0.0015939253
ph,0.0013544348
sequence_length,0.0013346496
sugar_hbd,0.0011240935
agg_std,0.0009456424
sur_x_gravy,0.000928683
aa_conc_mM,0.0008348554
sugar_sorbitol,0.000749536
pct_asn,0.0007465941
buf_x_asn,0.0007327948
amino_acid_encoded,0.0006290022
amino_acid_hbd,0.00062850007
dist_from_pI_at_pH_7.4,0.0006257726
sugar_sucrose,0.00051933003
pct_met,0.0005061195
dist_from_pI_at_pH_7.0,0.00044134597
amino_acid_hba,0.00041214598
charge_at_pH_7.4,0.0004019195
molecular_weight_kda,0.0003808782
sheet_fraction,0.0003653676
aromaticity,0.0003461678
surfactant_polysorbate 20,0.0003448663
agg_hotspot_frac,0.00032513944
pct_trp,0.00032450765
agg_max,0.0002956096
agg_min,0.00028119382
charge_at_pH_5.0,0.00026706952
sur_conc_mM,0.0002624986
isoelectric_point,0.00023252468
buffer_encoded,0.00021923821
charge_at_pH_7.0,0.00020810677
sugar_encoded,0.00017801549
turn_fraction,0.00017637575
buf_conc_mM,0.00017073232
agg_mean,0.00016234675
buffer_mol_weight,0.00015894239
helix_fraction,0.00015859924
buffer_logp,0.00014056117
charge_at_pH_6.5,0.00013721085
dist_from_pI_at_pH_6.0,0.00012462988
charge_at_pH_5.5,0.00011121905
dist_from_pI_at_pH_5.0,0.000106616666
pct_his,0.00010326589
charge_at_pH_6.0,8.877967e-05
pct_cys,6.598097e-05
surfactant_polysorbate 80,6.422601e-05
sugar_mannitol,6.1504776e-05
amino_acid_glycine,5.543717e-05
sugar_rotbonds,5.0670867e-05
buffer_phosphoric acid,4.9792645e-05
buffer_tpsa,4.2957443e-05
amino_acid_none,3.9541595e-05
buffer_hbd,3.8212263e-05
dist_from_pI_at_pH_5.5,2.2615324e-05
buffer_hba,4.235463e-06
surfactant_tpsa,0.0
surfactant_hba,0.0
surfactant_rotbonds,0.0
sugar_hba,0.0
sugar_tpsa,0.0
surfactant_mol_weight,0.0
surfactant_logp,0.0
surfactant_hbd,0.0
buffer_rotbonds,0.0
buffer_histidine,0.0
buffer_acetic acid,0.0
buffer_citric acid,0.0
sugar_trehalose,0.0
amino_acid_proline,0.0
amino_acid_arginine,0.0
amino_acid_methionine,0.0
