feature,shap_importance
pct_asn,1.1107694
temperature_c,0.91151094
buffer_histidine,0.7276597
pct_met,0.5657111
amino_acid_methionine,0.5427286
ph,0.5150281
pct_cys,0.5043183
dist_from_pI_formulation,0.35582107
buffer_rotbonds,0.3406645
sugar_mol_weight,0.2049234
high_temp_flag,0.1866308
surfactant_poloxamer 188,0.16505173
sug_conc_mM,0.15896305
buffer_logp,0.13802053
buffer_mol_weight,0.11325347
aa_conc_mM,0.107823625
helix_fraction,0.09628735
agg_std,0.09258924
ph_risk_flag,0.07843508
agg_x_temp,0.0763903
buf_conc_mM,0.069783844
turn_fraction,0.06862623
sugar_logp,0.062537774
sugar_sorbitol,0.056548
agg_x_gravy,0.056321476
surfactant_polysorbate 20,0.055243097
sur_conc_mM,0.047522563
pct_trp,0.046618976
amino_acid_hbd,0.042849116
sugar_mannitol,0.04238275
buf_x_asn,0.038661078
amino_acid_logp,0.038429305
aromaticity,0.037814543
agg_min,0.03768748
sug_x_instability,0.037354514
agg_hotspots,0.03733689
charge_at_pH_5.0,0.03536967
instability_index,0.034754157
agg_hotspot_frac,0.034740806
sur_x_gravy,0.03304199
buffer_encoded,0.029693445
sequence_length,0.02874356
sugar_sucrose,0.02803771
charge_at_pH_6.0,0.026428862
surfactant_polysorbate 80,0.02631265
sug_x_cys,0.02445218
molecular_weight_kda,0.02326387
gravy_score,0.020381706
hotspot_x_sug,0.020297643
amino_acid_rotbonds,0.019057654
surfactant_encoded,0.01836814
amino_acid_hba,0.018157788
amino_acid_none,0.018015532
charge_at_pH_5.5,0.017762309
buffer_tpsa,0.01463599
amino_acid_mol_weight,0.014362866
dist_from_pI_at_pH_7.4,0.012967276
agg_max,0.012745572
dist_from_pI_at_pH_7.0,0.012675476
sugar_rotbonds,0.01206947
amino_acid_glycine,0.011205833
dist_from_pI_at_pH_6.0,0.010903306
amino_acid_encoded,0.010362642
amino_acid_tpsa,0.010097846
protein_id_encoded,0.009814372
charge_at_pH_6.5,0.009734333
pct_his,0.0091105355
sugar_encoded,0.008431047
sheet_fraction,0.008342169
isoelectric_point,0.008081929
charge_at_pH_7.0,0.0070992406
agg_mean,0.0068798
dist_from_pI_at_pH_6.5,0.00614497
amino_acid_arginine,0.0056989607
amino_acid_proline,0.0055122958
buffer_hbd,0.0054833605
buffer_hba,0.0053026383
dist_from_pI_at_pH_5.5,0.0050159493
charge_at_pH_7.4,0.0009660008
dist_from_pI_at_pH_5.0,0.0
surfactant_tpsa,0.0
sugar_tpsa,0.0
surfactant_mol_weight,0.0
surfactant_logp,0.0
surfactant_hbd,0.0
sugar_hba,0.0
surfactant_hba,0.0
surfactant_rotbonds,0.0
sugar_hbd,0.0
sugar_trehalose,0.0
buffer_phosphoric acid,0.0
buffer_acetic acid,0.0
buffer_citric acid,0.0
