feature,shap_importance
dist_from_pI_formulation,0.07301177
sugar_mol_weight,0.049853183
surfactant_encoded,0.04137314
high_temp_flag,0.038936265
sugar_logp,0.017338932
gravy_score,0.015064379
amino_acid_mol_weight,0.011017112
agg_hotspots,0.009652216
sug_x_instability,0.008427244
ph_risk_flag,0.0071127517
amino_acid_logp,0.0066625164
agg_x_temp,0.0039760997
sug_x_cys,0.0037319586
sugar_hbd,0.0035788652
sugar_hba,0.0029315252
sug_conc_mM,0.002768802
amino_acid_rotbonds,0.0024699601
instability_index,0.0022049625
dist_from_pI_at_pH_6.0,0.002018946
amino_acid_tpsa,0.001976165
agg_x_gravy,0.0018085628
agg_mean,0.0012050288
sheet_fraction,0.0011096343
charge_at_pH_5.0,0.0010547086
aa_conc_mM,0.0010123709
pct_asn,0.0010048021
aromaticity,0.0009990573
sequence_length,0.0009973331
amino_acid_encoded,0.00094522827
sur_x_gravy,0.00092440617
agg_hotspot_frac,0.00090346
pct_met,0.00084138627
amino_acid_hbd,0.0007953773
buf_x_asn,0.0007728433
hotspot_x_sug,0.00074088055
amino_acid_hba,0.0006326637
protein_id_encoded,0.0005814249
dist_from_pI_at_pH_6.5,0.00045147145
agg_max,0.00045028733
agg_min,0.0004339835
sur_conc_mM,0.00040850372
helix_fraction,0.00029787433
buffer_logp,0.0002826619
buf_conc_mM,0.00026295322
buffer_mol_weight,0.00025005802
dist_from_pI_at_pH_7.4,0.00023223527
pct_trp,0.00020902512
pct_his,0.00017894797
charge_at_pH_6.5,0.00017766331
buffer_encoded,0.00015607904
agg_std,0.00015554596
charge_at_pH_7.0,0.00014926134
molecular_weight_kda,0.00014312775
dist_from_pI_at_pH_5.0,0.00013621048
turn_fraction,0.00012548965
dist_from_pI_at_pH_7.0,0.00012392053
pct_cys,0.00011517441
charge_at_pH_6.0,0.00010311952
charge_at_pH_5.5,9.491583e-05
isoelectric_point,7.341624e-05
sugar_encoded,6.804853e-05
charge_at_pH_7.4,5.7316134e-05
buffer_hbd,2.2982176e-05
sugar_rotbonds,9.942552e-06
buffer_tpsa,0.0
buffer_hba,0.0
dist_from_pI_at_pH_5.5,0.0
buffer_rotbonds,0.0
surfactant_tpsa,0.0
surfactant_rotbonds,0.0
surfactant_hba,0.0
sugar_tpsa,0.0
surfactant_mol_weight,0.0
surfactant_logp,0.0
surfactant_hbd,0.0
