protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,composite_stability_score,stability_score,low_aggregation,low_oxidation,low_deamidation,high_potency,high_shelf_life,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life,uncertainty,confidence
P08700,phosphoric acid,sucrose,poloxamer 188,arginine,7.4,40,0.4265,0.5734945520842343,0.7824808638557339,0.5855433673874315,0.2002538770511202,0.5729022520899287,0.5450858932831236,0.2175,0.4145,0.7997,0.5729,0.5451,0.1032,High
P08700,phosphoric acid,mannitol,poloxamer 188,methionine,5.5,40,0.4464,0.553638477422248,0.5614912318813897,0.7457264063085967,0.2970271367380737,0.5622202441037745,0.5389296144686302,0.4385,0.2543,0.703,0.5622,0.5389,0.2586,High
P08700,phosphoric acid,trehalose,poloxamer 188,none,7.4,40,0.4545,0.5454846353891749,0.723533451093529,0.5880550512170759,0.18593934282016122,0.5480737972808709,0.5167045309201587,0.2765,0.4119,0.8141,0.5481,0.5167,0.3016,High
P01570,phosphoric acid,trehalose,polysorbate 20,methionine,7.4,40,0.4557,0.5442631673625262,0.6845475829381464,0.44728856123031335,0.43435888000245493,0.5287843216702772,0.5331989755112814,0.3155,0.5527,0.5656,0.5288,0.5332,0.4661,Medium
A2RU14,acetic acid,mannitol,polysorbate 20,proline,6.5,40,0.4574,0.5425509468991123,0.27690265103138956,0.7002428475428111,0.8132552028146856,0.5308190732858988,0.5660081119320264,0.7231,0.2998,0.1867,0.5308,0.566,0.2135,High
P08700,acetic acid,trehalose,poloxamer 188,glycine,7.4,40,0.4589,0.54107416593976,0.703217125494195,0.5893381970171436,0.2010656448612449,0.542383513997027,0.520859333814055,0.2968,0.4107,0.7989,0.5424,0.5209,0.1116,High
O15520,phosphoric acid,mannitol,polysorbate 80,none,7.4,40,0.478,0.5219586183050287,0.692613086911104,0.48545251871917405,0.2636063651135825,0.5363189661782349,0.5002358051379392,0.3074,0.5145,0.7364,0.5363,0.5002,0.1681,High
P01583,acetic acid,mannitol,poloxamer 188,methionine,5.0,40,0.5056,0.494436353077618,0.31067920974283914,0.7540616249525438,0.4872894907284727,0.4993154194466448,0.49656024733594106,0.6893,0.2459,0.5127,0.4993,0.4966,0.4063,Medium
P08700,phosphoric acid,mannitol,poloxamer 188,proline,7.4,40,0.5092,0.4908295658069779,0.5866200209909949,0.590067239398495,0.20073367744067827,0.4947994859854244,0.4725818044911335,0.4134,0.4099,0.7993,0.4948,0.4726,0.1132,High
A0PK11,acetic acid,mannitol,poloxamer 188,none,7.0,40,0.5201,0.4798587946451798,0.3037363979284322,0.6235206433537166,0.5984058512995902,0.4918507598874444,0.484242205775293,0.6963,0.3765,0.4016,0.4919,0.4842,0.4526,Medium
P15514,phosphoric acid,sucrose,poloxamer 188,proline,7.0,40,0.524,0.4760459595876658,0.45252507827735045,0.5632519778820858,0.4061336661472552,0.4802459933750599,0.47171110968723207,0.5475,0.4367,0.5939,0.4802,0.4717,0.6252,Medium
A6BM72,acetic acid,trehalose,poloxamer 188,proline,7.4,40,0.5241,0.4758796346369847,0.6942054613101896,0.1516086155519938,0.5063735755652914,0.46493179510824834,0.4798216982224881,0.3058,0.8484,0.4936,0.4649,0.4798,0.3112,High
O15520,phosphoric acid,sorbitol,poloxamer 188,proline,7.4,40,0.5256,0.4743861404983407,0.5780012956429239,0.4827924253004596,0.27716154106721547,0.48469333247901514,0.4650254522581431,0.422,0.5172,0.7228,0.4847,0.465,0.2465,High
P15514,phosphoric acid,sorbitol,polysorbate 20,arginine,7.0,40,0.5367,0.4633402724636644,0.42370845289351966,0.5594706937479468,0.4083413451933411,0.471052951691862,0.45696857442996563,0.5763,0.4405,0.5917,0.4711,0.457,0.7356,Low
P01570,acetic acid,trehalose,poloxamer 188,proline,7.4,40,0.5418,0.45818619351317513,0.5860569664706778,0.2991132707014038,0.43792642825004324,0.45114879224143956,0.4606066617372485,0.4139,0.7009,0.5621,0.4511,0.4606,0.5843,Medium
A6BM72,phosphoric acid,mannitol,polysorbate 80,proline,7.4,40,0.544,0.45602752356483867,0.6387114784876663,0.16599976356042245,0.5120382665860823,0.4354697150939628,0.46500909245477984,0.3613,0.834,0.488,0.4355,0.465,0.3562,Medium
P01570,acetic acid,sorbitol,polysorbate 20,glycine,7.4,40,0.5481,0.45188873587452894,0.576668253104091,0.2866317613432895,0.4384786347996017,0.45561433303022614,0.4471806007564076,0.4233,0.7134,0.5615,0.4556,0.4472,0.2557,High
P01570,citric acid,mannitol,polysorbate 20,glycine,7.0,40,0.5934,0.40659506833254544,0.39808664004536365,0.28611949075924237,0.5641928433939596,0.41578679259639995,0.41056568117211384,0.6019,0.7139,0.4358,0.4158,0.4106,0.2886,High
A6BM72,acetic acid,sucrose,poloxamer 188,none,6.0,40,0.6129,0.3871268902939877,0.4333878738087513,0.1504621961428012,0.6074773343982536,0.37562335608418135,0.39973230265893167,0.5666,0.8495,0.3925,0.3756,0.3997,0.3072,High
P01570,acetic acid,mannitol,polysorbate 20,proline,7.0,40,0.6197,0.38034545006786824,0.4063203483918725,0.2941318380557515,0.4411583538722985,0.38141629157857354,0.38312508211058643,0.5937,0.7059,0.5588,0.3814,0.3831,0.278,High
P01570,phosphoric acid,mannitol,poloxamer 188,proline,7.0,40,0.6361,0.36389725957489294,0.3615734527379727,0.29984003281801475,0.4432591649865065,0.3694555312514481,0.3663276045416075,0.6384,0.7002,0.5567,0.3695,0.3663,0.3135,High
A6BM72,acetic acid,mannitol,poloxamer 188,proline,5.5,40,0.669,0.3309973229124782,0.2998654692334014,0.1579812951522196,0.6056221173440748,0.3204854016667451,0.34703702347812215,0.7001,0.842,0.3944,0.3205,0.347,0.3216,High
A6BM72,acetic acid,sorbitol,poloxamer 188,proline,6.0,40,0.6708,0.3291751138460367,0.2906264908394558,0.1617085116825815,0.6117514496399032,0.31566149650216313,0.346583994565533,0.7094,0.8383,0.3882,0.3157,0.3466,0.3938,Medium
