protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,composite_score,stability_proba,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life
A6NNB3,histidine,trehalose,polysorbate 80,methionine,5.0,4,10.0,200.0,0.08,1.0,0.95530295,0.9917806,0.077699386,0.037868626,0.056500524,0.9358863,0.94162136
P05423,histidine,trehalose,polysorbate 20,methionine,5.5,25,10.0,300.0,0.08,5.5,0.94988513,0.9923767,0.06974283,0.044219095,0.09112123,0.93096626,0.93553597
O00585,histidine,sucrose,polysorbate 20,methionine,5.5,25,30.0,200.0,0.01,10.0,0.94856197,0.98266107,0.077572376,0.119887814,-0.007065247,0.9293803,0.93588775
O00585,histidine,trehalose,polysorbate 80,methionine,5.5,4,50.0,200.0,0.01,10.0,0.9477093,0.9841778,0.076640874,0.12115973,-0.0030530656,0.9244819,0.93655646
A6NNB3,histidine,trehalose,polysorbate 20,arginine,5.0,4,30.0,300.0,0.045,50.0,0.9472612,0.99162394,-0.0011835553,0.18114093,0.050109237,0.9190669,0.9272958
B6A8C7,histidine,sucrose,polysorbate 20,methionine,5.0,4,50.0,300.0,0.045,10.0,0.94185275,0.9909582,0.054317195,0.02790783,0.16795462,0.92768246,0.91311324
A2RU14,histidine,sucrose,polysorbate 80,methionine,5.0,4,10.0,200.0,0.045,1.0,0.94129294,0.97137815,0.19976316,-0.019476298,-0.001649332,0.93202466,0.9371911
P08620,histidine,trehalose,polysorbate 20,methionine,6.0,4,50.0,200.0,0.08,5.5,0.9376846,0.99009234,0.07887658,0.016002208,0.17458293,0.9282309,0.9157074
P09038,histidine,sucrose,polysorbate 20,arginine,6.0,4,30.0,200.0,0.045,150.0,0.9359796,0.98264563,0.004148937,0.17156057,0.10764203,0.9224272,0.9106393
P09038,histidine,sucrose,polysorbate 80,arginine,6.5,25,10.0,200.0,0.045,50.0,0.9347814,0.98045415,0.0023269593,0.16729042,0.11461476,0.91948503,0.90947
O76093,histidine,sucrose,polysorbate 20,methionine,5.0,4,50.0,300.0,0.01,10.0,0.9347367,0.9798614,0.051663876,0.07423997,0.13948119,0.9188901,0.90671414
O00585,histidine,sucrose,polysorbate 80,arginine,6.5,4,10.0,300.0,0.01,50.0,0.9291514,0.96223664,0.003789992,0.27731934,-0.0008090452,0.9141734,0.9117776
O75610,histidine,sucrose,polysorbate 80,methionine,7.4,4,10.0,200.0,0.08,10.0,0.92893773,0.97493297,0.06495954,0.082726225,0.14285539,0.92167485,0.90071404
O75888,histidine,sucrose,polysorbate 20,arginine,5.5,4,30.0,300.0,0.01,100.0,0.9268915,0.97320276,0.0094310315,0.19208105,0.11289422,0.9136186,0.9104061
P09038,histidine,sucrose,poloxamer 188,methionine,5.5,4,30.0,300.0,0.01,10.0,0.92474174,0.9878154,0.16516072,0.023555487,0.10571692,0.9053941,0.9002201
A6NNB3,histidine,trehalose,polysorbate 20,glycine,5.0,4,50.0,200.0,0.045,200.0,0.9240749,0.9822724,0.07961831,0.18235533,0.048924115,0.9007566,0.8979049
O00585,histidine,sucrose,polysorbate 80,arginine,5.0,4,30.0,100.0,0.045,100.0,0.92404634,0.9539451,0.017883798,0.27412876,-0.005402039,0.9096994,0.90587234
A6NNB3,phosphoric acid,sucrose,polysorbate 80,methionine,6.5,4,10.0,300.0,0.08,5.5,0.9195918,0.9713926,0.052686773,0.13014062,0.13807856,0.8991452,0.8814491
P09038,histidine,trehalose,poloxamer 188,methionine,6.0,25,30.0,200.0,0.05,1.0,0.9187648,0.98524666,0.18451005,0.027022721,0.1063728,0.9035667,0.89134467
P05423,citric acid,trehalose,polysorbate 80,methionine,5.5,4,50.0,200.0,0.08,5.5,0.9185365,0.9736521,0.09002146,0.13347156,0.086491086,0.88671076,0.8886571
P09038,histidine,sucrose,polysorbate 80,none,6.0,4,50.0,200.0,0.01,0.0,0.91770446,0.980702,0.08275868,0.16022407,0.107694134,0.9086126,0.8788276
A2RU14,histidine,sucrose,polysorbate 20,proline,5.5,25,50.0,200.0,0.045,150.0,0.91770077,0.9625546,0.18759847,0.09562361,-0.0041423254,0.9002333,0.9028248
O75610,histidine,trehalose,polysorbate 80,proline,5.5,25,10.0,300.0,0.045,50.0,0.91748476,0.97983783,0.06500067,0.22249648,0.053222112,0.8900972,0.8875333
A0A1B0GTW7,histidine,sucrose,polysorbate 80,arginine,5.0,25,10.0,300.0,0.01,100.0,0.91632324,0.965694,0.017719567,0.24991654,0.07467274,0.89380246,0.89553803
O75888,citric acid,trehalose,polysorbate 80,methionine,5.5,4,50.0,300.0,0.08,5.5,0.9157877,0.968094,0.07177041,0.14087895,0.116118625,0.891005,0.89224756
O95390,histidine,trehalose,polysorbate 20,methionine,5.0,4,30.0,100.0,0.08,1.0,0.915092,0.9753745,0.109961584,0.13150865,0.09599888,0.8946602,0.88797987
A6NNB3,histidine,trehalose,polysorbate 20,none,7.0,4,50.0,300.0,0.01,0.0,0.913336,0.9824953,0.058360934,0.17975706,0.14085206,0.89321506,0.88737327
O75610,histidine,trehalose,polysorbate 20,proline,5.0,25,50.0,200.0,0.01,150.0,0.9117716,0.9627987,0.08354949,0.21789622,0.037880298,0.89290476,0.88145113
P08620,citric acid,trehalose,polysorbate 20,methionine,6.0,4,10.0,100.0,0.08,1.0,0.9111821,0.9742571,0.09436034,0.0920594,0.17643344,0.89423263,0.87832135
O75610,histidine,trehalose,polysorbate 80,proline,5.5,4,30.0,200.0,0.08,150.0,0.90934086,0.96248925,0.0849143,0.22163242,0.04473239,0.88930607,0.88271546
A6QL63,histidine,trehalose,polysorbate 80,methionine,5.5,4,10.0,300.0,0.08,5.5,0.9068798,0.97437286,0.11099252,0.10601412,0.1633852,0.88895154,0.8766714
O76093,histidine,sucrose,polysorbate 80,arginine,5.5,25,10.0,300.0,0.045,150.0,0.9065016,0.93877155,-0.008884562,0.2306025,0.14557743,0.9012642,0.886611
A0PK11,histidine,trehalose,polysorbate 20,none,5.5,25,30.0,300.0,0.045,0.0,0.9062519,0.9854704,0.10226346,0.18732929,0.11825385,0.8892227,0.8703502
P08620,histidine,trehalose,polysorbate 20,glycine,6.5,25,50.0,200.0,0.08,200.0,0.9048151,0.97652245,0.077155314,0.15392588,0.17461233,0.88739705,0.86921096
O76093,histidine,trehalose,polysorbate 20,arginine,5.5,25,50.0,100.0,0.045,50.0,0.9045759,0.9540992,0.016234268,0.23078479,0.14759684,0.89591604,0.879256
O95150,histidine,sucrose,polysorbate 80,arginine,5.0,4,10.0,200.0,0.01,50.0,0.90410465,0.96521944,0.008528132,0.26158068,0.13311015,0.88118786,0.86539716
A2A2Y4,histidine,sucrose,polysorbate 20,glycine,5.0,25,50.0,300.0,0.08,125.0,0.90375745,0.97567195,0.09458793,0.20331427,0.100628786,0.87763584,0.87839025
A0PK11,histidine,trehalose,polysorbate 20,methionine,7.4,25,30.0,300.0,0.045,10.0,0.9023033,0.96097296,0.13082385,0.04233101,0.21323878,0.90245235,0.86287326
O75610,histidine,trehalose,poloxamer 188,methionine,7.4,4,10.0,200.0,0.01,10.0,0.90055996,0.973042,0.17213519,0.07065742,0.13839732,0.87067515,0.87662524
