protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,composite_score,stable_derived,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life
A6NNB3,histidine,trehalose,polysorbate 80,methionine,5.0,4,10.0,200.0,0.08,1.0,0.9386,1,0.0808,0.0334,0.0519,0.9313,0.9431
O00585,histidine,sucrose,polysorbate 20,methionine,5.5,25,30.0,200.0,0.01,10.0,0.9361,1,0.0686,0.122,-0.006,0.932,0.9348
O00585,histidine,trehalose,polysorbate 80,methionine,5.5,4,50.0,200.0,0.01,10.0,0.9358,1,0.0693,0.1216,-0.0061,0.9296,0.937
A6NNB3,histidine,trehalose,polysorbate 20,arginine,5.0,4,30.0,300.0,0.045,50.0,0.9355,1,-0.0007,0.178,0.0496,0.9216,0.925
P05423,histidine,trehalose,polysorbate 20,methionine,5.5,25,10.0,300.0,0.08,5.5,0.9301,1,0.0701,0.0454,0.0932,0.9253,0.936
O00585,histidine,sucrose,polysorbate 80,arginine,6.5,4,10.0,300.0,0.01,50.0,0.9227,1,0.0034,0.2726,0.0014,0.9171,0.9119
P09038,histidine,sucrose,polysorbate 20,arginine,6.0,4,30.0,200.0,0.045,150.0,0.9225,1,0.0018,0.1715,0.1115,0.9274,0.9059
P09038,histidine,sucrose,polysorbate 80,arginine,6.5,25,10.0,200.0,0.045,50.0,0.9217,1,0.002,0.1684,0.1133,0.9228,0.9028
B6A8C7,histidine,sucrose,polysorbate 20,methionine,5.0,4,50.0,300.0,0.045,10.0,0.921,1,0.0596,0.0287,0.1622,0.923,0.9161
O76093,histidine,sucrose,polysorbate 20,methionine,5.0,4,50.0,300.0,0.01,10.0,0.9197,1,0.0504,0.0684,0.1407,0.9241,0.9059
O00585,histidine,sucrose,polysorbate 80,arginine,5.0,4,30.0,100.0,0.045,100.0,0.9186,1,0.0191,0.2678,-0.0004,0.9184,0.9104
