protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score,composite_stability_score,stable,sequence_length,isoelectric_point,gravy_score,instability_index,molecular_weight_kda,aromaticity,helix_fraction,turn_fraction,sheet_fraction,pct_asn,pct_met,pct_cys,pct_trp,pct_his,charge_at_pH_5.0,dist_from_pI_at_pH_5.0,charge_at_pH_5.5,dist_from_pI_at_pH_5.5,charge_at_pH_6.0,dist_from_pI_at_pH_6.0,charge_at_pH_6.5,dist_from_pI_at_pH_6.5,charge_at_pH_7.0,dist_from_pI_at_pH_7.0,charge_at_pH_7.4,dist_from_pI_at_pH_7.4,agg_mean,agg_min,agg_max,agg_std,agg_hotspots,agg_hotspot_frac,buffer_mol_weight,buffer_logp,buffer_hbd,buffer_hba,buffer_tpsa,buffer_rotbonds,sugar_mol_weight,sugar_logp,sugar_hbd,sugar_hba,sugar_tpsa,sugar_rotbonds,surfactant_mol_weight,surfactant_logp,surfactant_hbd,surfactant_hba,surfactant_tpsa,surfactant_rotbonds,amino_acid_mol_weight,amino_acid_logp,amino_acid_hbd,amino_acid_hba,amino_acid_tpsa,amino_acid_rotbonds,buffer_encoded,sugar_encoded,surfactant_encoded,amino_acid_encoded,protein_id_encoded,sug_x_instability,sur_x_gravy,buf_x_asn,sug_x_cys,high_temp_flag,agg_x_temp,agg_x_gravy,hotspot_x_sug,dist_from_pI_formulation,ph_risk_flag
A0A1B0GTW7,histidine,sucrose,poloxamer 188,proline,5.5,4,10.0,300.0,0.01,150.0,0.1877,0.2434,0.0814,0.8661,2,0.8228,0.1718,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,115.13,-2.5,2.0,3.0,49.3,1.0,2,2,0,4,0,12525.6,0.0014199999999999998,17.766,1104.06,0,-0.0,0.018033999999999998,11.790000000000001,2.538,0
A0A1B0GTW7,histidine,sorbitol,polysorbate 80,arginine,5.0,4,10.0,300.0,0.08,50.0,0.1357,0.2778,0.0838,0.8362,1,0.8481,0.1659,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,174.2,-4.2,4.0,4.0,128.0,5.0,2,1,2,0,0,12525.6,0.011359999999999999,17.766,1104.06,0,-0.0,0.018033999999999998,11.790000000000001,3.038,0
A0A1B0GTW7,citric acid,sorbitol,polysorbate 80,methionine,7.0,25,10.0,100.0,0.08,5.5,0.2422,0.1869,0.1733,0.7741,0,0.7606,0.212,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,192.12,-1.7,4.0,7.0,132.0,5.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,1,1,2,2,0,4175.2,0.011359999999999999,17.766,368.02000000000004,0,-0.0,0.018033999999999998,3.93,1.038,0
A0A1B0GTW7,phosphoric acid,mannitol,polysorbate 80,glycine,6.0,4,10.0,200.0,0.01,125.0,0.2226,0.3259,0.1747,0.7601,1,0.7325,0.2437,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,75.07,-3.2,2.0,3.0,63.3,1.0,3,0,2,1,0,8350.4,0.0014199999999999998,17.766,736.0400000000001,0,-0.0,0.018033999999999998,7.86,2.038,0
A0A1B0GTW7,phosphoric acid,mannitol,polysorbate 80,methionine,7.0,4,30.0,100.0,0.08,5.5,0.3001,0.1917,0.2698,0.74,0,0.7307,0.2594,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,3,0,2,2,0,4175.2,0.011359999999999999,53.298,368.02000000000004,0,-0.0,0.018033999999999998,3.93,1.038,0
A0A1B0GTW7,phosphoric acid,trehalose,poloxamer 188,arginine,5.0,40,10.0,200.0,0.01,50.0,0.2127,0.4232,0.276,0.6707,0,0.6993,0.2999,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,174.2,-4.2,4.0,4.0,128.0,5.0,3,3,0,0,0,8350.4,0.0014199999999999998,17.766,736.0400000000001,1,-0.127,0.018033999999999998,7.86,3.038,0
A0A1B0GTW7,histidine,sorbitol,polysorbate 20,methionine,7.4,25,10.0,200.0,0.045,1.0,0.33,0.1332,0.1682,0.7733,0,0.794,0.2267,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,2,1,1,2,0,8350.4,0.006389999999999999,17.766,736.0400000000001,0,-0.0,0.018033999999999998,7.86,0.638,0
A0A1B0GTW7,phosphoric acid,sucrose,poloxamer 188,glycine,7.0,40,10.0,100.0,0.03,125.0,0.2695,0.4504,0.3292,0.6147,1,0.6623,0.3474,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,75.07,-3.2,2.0,3.0,63.3,1.0,3,2,0,1,0,4175.2,0.004259999999999999,17.766,368.02000000000004,1,-0.127,0.018033999999999998,3.93,1.038,0
A0A1B0GTW7,phosphoric acid,trehalose,poloxamer 188,proline,5.0,4,10.0,200.0,0.03,100.0,0.2116,0.3496,0.1661,0.7712,0,0.7311,0.2424,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,115.13,-2.5,2.0,3.0,49.3,1.0,3,3,0,4,0,8350.4,0.004259999999999999,17.766,736.0400000000001,0,-0.0,0.018033999999999998,7.86,3.038,0
A0A1B0GTW7,histidine,trehalose,poloxamer 188,proline,5.5,40,30.0,200.0,0.05,100.0,0.2678,0.337,0.1896,0.7107,0,0.6996,0.2743,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,115.13,-2.5,2.0,3.0,49.3,1.0,2,3,0,4,0,8350.4,0.0070999999999999995,53.298,736.0400000000001,1,-0.127,0.018033999999999998,7.86,2.538,0
