ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score,composite_stability_score,stable,sequence_length,isoelectric_point,gravy_score,instability_index,molecular_weight_kda,aromaticity,helix_fraction,turn_fraction,sheet_fraction,pct_asn,pct_met,pct_cys,pct_trp,pct_his,charge_at_pH_5.0,dist_from_pI_at_pH_5.0,charge_at_pH_5.5,dist_from_pI_at_pH_5.5,charge_at_pH_6.0,dist_from_pI_at_pH_6.0,charge_at_pH_6.5,dist_from_pI_at_pH_6.5,charge_at_pH_7.0,dist_from_pI_at_pH_7.0,charge_at_pH_7.4,dist_from_pI_at_pH_7.4,agg_mean,agg_min,agg_max,agg_std,agg_hotspots,agg_hotspot_frac,buffer_mol_weight,buffer_logp,buffer_hbd,buffer_hba,buffer_tpsa,buffer_rotbonds,sugar_mol_weight,sugar_logp,sugar_hbd,sugar_hba,sugar_tpsa,sugar_rotbonds,surfactant_mol_weight,surfactant_logp,surfactant_hbd,surfactant_hba,surfactant_tpsa,surfactant_rotbonds,amino_acid_mol_weight,amino_acid_logp,amino_acid_hbd,amino_acid_hba,amino_acid_tpsa,amino_acid_rotbonds,buffer_encoded,sugar_encoded,surfactant_encoded,amino_acid_encoded,protein_id_encoded,sug_x_instability,sur_x_gravy,buf_x_asn,sug_x_cys,high_temp_flag,agg_x_temp,agg_x_gravy,hotspot_x_sug,dist_from_pI_formulation,ph_risk_flag
5.5,4,0.0,1.0,0.0,0.75,0.1877,0.2434,0.0814,0.8661,2,0.8228,0.1718,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.7200726887256759,0.0,0.6666666666666667,0.4,0.5776135163674763,0.6000000000000001,0.9999999999999998,0.4545454545454546,1.0,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041158075254717,0.7391304347826086,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.5252874153151305,0.011853720050441361,0.04154526109019479,0.24967779360829895,0.0,0.42471146103605617,0.022757771366818422,0.09852216748768475,0.41037277147487844,0.0
5.0,4,0.0,1.0,1.0,0.25,0.1357,0.2778,0.0838,0.8362,1,0.8481,0.1659,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.7200726887256759,0.0,0.6666666666666667,0.4,0.5776135163674763,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.5252874153151305,0.09541824295922655,0.04154526109019479,0.24967779360829895,0.0,0.42471146103605617,0.022757771366818422,0.09852216748768475,0.49141004862236626,0.0
7.0,25,0.0,0.0,1.0,0.0275,0.2422,0.1869,0.1733,0.7741,0,0.7606,0.212,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,1.0000000000000002,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479067890648646,1.0,0.0,1.0,0.4993646759847521,0.75,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.09671012112502567,0.09541824295922655,0.04154526109019479,0.07102860901498292,0.0,0.42471146103605617,0.022757771366818422,0.02406214475179993,0.16726094003241493,0.0
6.0,4,0.0,0.5,0.0,0.625,0.2226,0.3259,0.1747,0.7601,1,0.7325,0.2437,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.2873097599757705,0.3666666666666667,0.6666666666666667,0.4,0.4276663146779303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956521,0.0,0.0,0.17789072426937735,0.0,1.0,0.0,1.0,0.25,0.0,0.31099876822007805,0.011853720050441361,0.04154526109019479,0.16035320131164096,0.0,0.42471146103605617,0.022757771366818422,0.061292156119742335,0.32933549432739057,0.0
7.0,4,0.5,0.0,1.0,0.0275,0.3001,0.1917,0.2698,0.74,0,0.7307,0.2594,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.2873097599757705,0.3666666666666667,0.6666666666666667,0.4,0.4276663146779303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479067890648646,1.0,0.0,1.0,0.4993646759847521,0.75,1.0,0.0,1.0,0.5,0.0,0.09671012112502567,0.09541824295922655,0.12463578327058439,0.07102860901498292,0.0,0.42471146103605617,0.022757771366818422,0.02406214475179993,0.16726094003241493,0.0
5.0,40,0.0,0.5,0.0,0.25,0.2127,0.4232,0.276,0.6707,0,0.6993,0.2999,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.2873097599757705,0.3666666666666667,0.6666666666666667,0.4,0.4276663146779303,0.0,0.9999999999999998,0.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.31099876822007805,0.011853720050441361,0.04154526109019479,0.16035320131164096,1.0,0.31108526438221346,0.022757771366818422,0.061292156119742335,0.49141004862236626,0.0
7.4,25,0.0,0.5,0.49999999999999994,0.005,0.33,0.1332,0.1682,0.7733,0,0.794,0.2267,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.7200726887256759,0.0,0.6666666666666667,0.4,0.5776135163674763,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479067890648646,1.0,0.0,1.0,0.4993646759847521,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.0,0.31099876822007805,0.05363598150483395,0.04154526109019479,0.16035320131164096,0.0,0.42471146103605617,0.022757771366818422,0.061292156119742335,0.10243111831442464,0.0
7.0,40,0.0,0.0,0.2857142857142857,0.625,0.2695,0.4504,0.3292,0.6147,1,0.6623,0.3474,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.2873097599757705,0.3666666666666667,0.6666666666666667,0.4,0.4276663146779303,0.0,0.9999999999999998,0.4545454545454546,1.0,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956521,0.0,0.0,0.17789072426937735,0.0,1.0,0.6666666666666666,0.0,0.25,0.0,0.09671012112502567,0.035729298024379984,0.04154526109019479,0.07102860901498292,1.0,0.31108526438221346,0.022757771366818422,0.02406214475179993,0.16726094003241493,0.0
5.0,4,0.0,0.5,0.2857142857142857,0.5,0.2116,0.3496,0.1661,0.7712,0,0.7311,0.2424,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.2873097599757705,0.3666666666666667,0.6666666666666667,0.4,0.4276663146779303,0.0,0.9999999999999998,0.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041158075254717,0.7391304347826086,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.31099876822007805,0.035729298024379984,0.04154526109019479,0.16035320131164096,0.0,0.42471146103605617,0.022757771366818422,0.061292156119742335,0.49141004862236626,0.0
5.5,40,0.5,0.5,0.5714285714285714,0.5,0.2678,0.337,0.1896,0.7107,0,0.6996,0.2743,1,0.6804853387259859,0.515142150803461,0.28269484808454426,0.37933325280831026,0.6727016158784034,0.2255929398786542,0.6037364798426745,0.6887897378694925,0.33854479855682496,0.20772630545097398,0.14800848456280935,0.2211792092752572,0.34263105424939766,0.592012785704658,0.888185775374408,0.48825831702544026,0.8726139951077753,0.42060561299852284,0.7160913477504932,0.39079790331974373,0.5913871651137067,0.3277634961439589,0.5601195428843118,0.2474820143884892,0.5614469300333176,0.08672875436554132,0.31108526438221346,0.43844577553593944,0.5684998372925478,0.28389965068275647,0.7105263157894737,0.07413893753648572,0.7200726887256759,0.0,0.6666666666666667,0.4,0.5776135163674763,0.6000000000000001,0.9999999999999998,0.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041158075254717,0.7391304347826086,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.31099876822007805,0.05960487599831862,0.12463578327058439,0.16035320131164096,1.0,0.31108526438221346,0.022757771366818422,0.061292156119742335,0.41037277147487844,0.0
